15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT generated for this orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). Still no NEDT generated for orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT value generated. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR). QC flag relaxed to allow noise computation 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT generated for this orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). Still no NEDT generated for orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT value generated. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR). QC flag relaxed to allow noise computation 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT generated for this orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). Still no NEDT generated for orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT value generated. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR). QC flag relaxed to allow noise computation 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT generated for this orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). Still no NEDT generated for orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT value generated. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR). QC flag relaxed to allow noise computation 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT generated for this orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). Still no NEDT generated for orbit. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR conversion). No NEDT value generated. 
15.Warning: No Valid warm target found in orbit. (in MHS RDR). QC flag relaxed to allow noise computation 
4. Warning: # profiles different -Measur vs Cntrl- 
